"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Nov-2024","EQ","167.86","171.00","164.76","163.84","167.25","168.02","168.41","289.25","107.35","1,70,37,292","2,86,93,21,616.16","1,55,269"
"05-Nov-2024","EQ","146.10","167.90","145.10","147.58","165.70","163.84","160.26","289.25","107.35","3,03,78,727","4,86,85,82,760.67","2,54,776"
"04-Nov-2024","EQ","152.00","152.22","145.13","151.50","147.48","147.58","147.16","289.25","107.35","14,77,870","21,74,89,862.37","24,906"
"01-Nov-2024","EQ","148.61","151.99","148.61","147.76","151.99","151.50","151.01","289.25","100.05","4,71,013","7,11,29,392.61","8,548"
"31-Oct-2024","EQ","148.66","149.73","146.22","148.70","147.99","147.76","147.81","289.25","100.05","11,21,987","16,58,40,095.74","19,679"
"30-Oct-2024","EQ","146.39","150.48","143.75","146.58","148.66","148.70","147.46","289.25","100.05","19,14,610","28,23,25,747.29","29,121"
"29-Oct-2024","EQ","144.91","149.75","143.02","144.06","146.45","146.58","146.02","289.25","100.05","21,38,443","31,22,53,000.65","35,310"
"28-Oct-2024","EQ","145.95","148.40","142.66","144.84","145.40","144.06","145.19","289.25","100.05","25,25,796","36,67,08,284.19","42,106"
"25-Oct-2024","EQ","155.00","155.00","143.20","155.35","144.97","144.84","146.88","289.25","92.50","26,39,413","38,76,77,613.72","43,493"
"24-Oct-2024","EQ","155.90","156.73","149.47","154.62","155.25","155.35","153.69","289.25","92.50","23,75,770","36,51,41,172.63","46,310"
"23-Oct-2024","EQ","147.14","157.11","141.37","147.14","156.99","154.62","149.21","289.25","92.50","46,03,722","68,69,39,706.86","65,508"
"22-Oct-2024","EQ","158.36","158.92","146.35","158.25","147.45","147.14","150.80","289.25","92.50","39,71,959","59,89,73,023.55","62,193"
"21-Oct-2024","EQ","159.47","161.80","156.51","165.53","157.60","158.25","158.96","289.25","92.50","38,72,796","61,56,16,081.03","50,811"
"18-Oct-2024","EQ","167.91","168.77","164.57","168.78","165.56","165.53","165.82","289.25","92.50","12,92,952","21,44,02,570.52","29,385"
"17-Oct-2024","EQ","169.96","176.65","167.72","169.96","169.40","168.78","171.73","289.25","92.50","39,27,867","67,45,38,943.40","56,813"
"16-Oct-2024","EQ","169.88","172.77","168.80","169.88","170.00","169.96","170.57","289.25","92.50","12,10,555","20,64,89,579.49","18,192"
"15-Oct-2024","EQ","173.10","175.39","169.35","172.48","169.51","169.88","171.85","289.25","92.50","12,06,470","20,73,32,739.60","25,085"
"14-Oct-2024","EQ","175.00","175.36","171.61","174.73","173.00","172.48","172.88","289.25","92.50","8,00,826","13,84,50,439.42","21,169"
"11-Oct-2024","EQ","175.78","179.60","174.00","175.70","174.38","174.73","175.81","289.25","90.50","11,21,622","19,71,94,831.00","16,890"
"10-Oct-2024","EQ","178.00","178.20","175.20","177.19","176.00","175.70","176.57","289.25","90.50","5,81,679","10,27,09,086.99","11,833"
"09-Oct-2024","EQ","175.89","179.26","175.88","175.12","177.25","177.19","177.46","289.25","90.50","7,11,934","12,63,37,332.01","12,519"
